Time,kWh
21/04/2023 00:00,0.0032
22/04/2023 00:00,0.0089
23/04/2023 00:00,0.0012
24/04/2023 00:00,0.0096
25/04/2023 00:00,0.0075
26/04/2023 00:00,0.0
27/04/2023 00:00,0.0
28/04/2023 00:00,0.0019
29/04/2023 00:00,0.0137
30/04/2023 00:00,0.0
01/05/2023 00:00,0.0
02/05/2023 00:00,0.0
03/05/2023 00:00,0.0
04/05/2023 00:00,0.0
05/05/2023 00:00,0.0
06/05/2023 00:00,0.0
07/05/2023 00:00,0.0
08/05/2023 00:00,0.0
09/05/2023 00:00,0.0
10/05/2023 00:00,0.0
11/05/2023 00:00,0.0049
12/05/2023 00:00,0.0112
13/05/2023 00:00,0.0
14/05/2023 00:00,0.0
15/05/2023 00:00,0.0
16/05/2023 00:00,0.002
17/05/2023 00:00,0.001
18/05/2023 00:00,0.0008
19/05/2023 00:00,0.0166
20/05/2023 00:00,0.0164
21/05/2023 00:00,0.0009
22/05/2023 00:00,0.0001
23/05/2023 00:00,0.0076
24/05/2023 00:00,0.001
25/05/2023 00:00,0.0
26/05/2023 00:00,0.0
27/05/2023 00:00,0.0022
28/05/2023 00:00,0.0029
29/05/2023 00:00,0.0006
30/05/2023 00:00,0.0
31/05/2023 00:00,-1.0
01/06/2023 00:00,-1.0
